product_code,product_name
Baby_Food_10000086,双熊高钙淮山米粉
Baby_Food_10000087,安怡益加高钙脱脂奶粉
Baby_Food_10000088,钙美健高钙脱脂奶粉
Baby_Food_10000089,惠氏健儿乐（金装）
Baby_Food_10000090,惠氏新装金装爱儿乐S-26（1阶段0-6个月
Baby_Food_10000091,伊利女士营养奶粉
Baby_Food_10000092,伊利全脂甜鲜奶粉
Baby_Food_10000093,伊利全脂奶粉
Baby_Food_10000094,安怡活力高钙脱脂奶粉
Baby_Food_10000095,安怡活力高钙脱脂奶粉
Baby_Food_10000096,惠氏金装健儿乐
Baby_Food_10000097,惠氏金装幼儿乐
Baby_Food_10000098,雀巢串装甜奶粉
Baby_Food_10000099,三鹿婴儿配方奶粉(1段)
Baby_Food_10000100,三鹿婴幼儿配方奶粉(2段)
Baby_Food_10000101,三鹿成长配方奶粉(3段)
Baby_Food_10000102,圣元较大婴儿奶粉2段
Baby_Food_10000103,圣元幼儿成长奶粉3段
Baby_Food_10000104,伊利高钙高铁奶粉
Baby_Food_10000105,伊利婴儿配方奶粉1段
Baby_Food_10000106,伊利较大婴儿配方奶粉2段
Baby_Food_10000107,伊利幼儿配方奶粉3段
Baby_Food_10000108,蒙牛高钙高铁营养奶粉
Baby_Food_10000109,三鹿婴儿配方奶粉1段
Baby_Food_10000110,三鹿婴儿配方奶粉2段
Baby_Food_10000111,三鹿婴儿配方奶粉3段
Baby_Food_10000112,惠氏善存牌佳维30片
Baby_Food_10000113,惠氏善存牌佳维60片
Baby_Food_10000114,惠氏金装爱儿乐(1阶段0-6个月)
Baby_Food_10000115,惠氏BLUE金装健儿乐(2阶段6个月-1岁
Baby_Food_10000116,惠氏金盒装学儿乐（2阶段）（6个月-1岁
Baby_Food_10000117,惠氏金装幼儿乐（3阶段）（1岁-3岁）
Baby_Food_10000118,惠氏金盒装幼儿乐（3阶段）（1岁-3岁）
Baby_Food_10000119,惠氏S-26金装学儿乐4阶段(3-7岁)
Baby_Food_10000120,惠氏S-26金装学儿乐4阶段(3-7岁)
Baby_Food_10000121,雀巢美极碎牛肉土豆泥
Baby_Food_10000122,雀巢美极咖喱牛肉土豆泥
Baby_Food_10000123,雀巢美极鸡茸玉米土豆泥
Baby_Food_10000124,雀巢美极鸡茸烤洋葱土豆泥
Baby_Food_10000125,雀巢营养米粉
Baby_Food_10000126,雀巢五谷米粉
Baby_Food_10000127,三鹿活力高铁高锌配方奶粉
Baby_Food_10000128,惠氏S-26爱儿素婴儿配方豆粉（0-12个月）
